2^Росгосстрах Банк^0,102564102564103^1^0^1^0
3^Россельхозбанк^1^0,785180572851806^1^0^0
4^ВТБ24^0,128205128205128^0,659402241594022^0^1^0
5^Восточный экспресс банк^0,102564102564103^0,573474470734745^0^1^0
6^Хоум Кредит энд Финанс Банк^0,0897435897435897^0,447696139476961^0^1^0
7^Альфа-Банк^0,0897435897435897^0,438356164383562^0^1^0
8^РОСБАНК^0,179487179487179^0,35865504358655^0^1^0
9^Ханты-Мансийский банк Открытие^0,141025641025641^0,231008717310087^0^1^0
10^АК БАРС^0,41025641025641^0,214196762141968^0^1^0
11^БАНК УРАЛСИБ^0,0897435897435897^0,228518057285181^0^1^0
12^Газпромбанк^0,41025641025641^0,198630136986301^0^1^0
13^Совкомбанк^0,0256410256410256^0,204234122042341^0^1^0
14^Банк Русский Стандарт^0,115384615384615^0,177459526774595^0^1^0
15^ОТП Банк^0,0897435897435897^0,173723536737235^0^1^0
16^АВАНГАРД^0^0,167496886674969^0^1^0
17^Промсвязьбанк^0,102564102564103^0,170610211706102^0^1^0
18^Банк Москвы^0,128205128205128^0,171232876712329^0^1^0
19^Московский Индустриальный банк^0,294871794871795^0,155043586550436^0^1^0
20^Азиатско-Тихоокеанский Банк^0,0512820512820513^0,153798256537983^0^1^0
21^ЮНИСТРИМ^0^0,150062266500623^0^0^1
22^Уральский банк реконструкции и развития^0,166666666666667^0,14134495641345^0^1^0
23^РОССИИСКИИ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК^0^0,148816936488169^0^1^0
24^ПРОБИЗНЕСБАНК^0^0,144458281444583^0^1^0
25^Райффайзенбанк^0,0897435897435897^0,134495641344956^0^1^0
26^МДМ Банк^0,307692307692308^0,113947696139477^0^1^0
27^Ренессанс Кредит^0,0384615384615385^0,127646326276463^0^1^0
28^БИНБАНК^0,0897435897435897^0,10958904109589^0^1^0
29^Банк содействия коммерции и бизнесу^0,0897435897435897^0,10958904109589^0^1^0
